Confirmed,Deaths,Recovered,Days_Number
0,0,0,3
0,0,0,3
0,0,0,3
0,0,0,3
0,0,0,3
0,0,0,3
3,0,0,3
0,0,0,3
5,0,0,3
0,0,0,3
0,0,0,3
0,0,0,3
0,0,0,3
0,0,0,3
0,0,0,3
0,0,0,3
0,0,0,3
0,0,0,3
0,0,0,3
0,0,0,3
0,0,0,3
0,0,0,3
0,0,0,3
0,0,0,3
2,0,0,3
0,0,0,3
0,0,0,3
2,0,0,3
0,0,0,3
0,0,0,3
0,0,0,3
0,0,0,3
0,0,0,3
0,0,0,3
0,0,0,3
0,0,0,3
0,0,0,3
0,0,0,3
0,0,0,3
0,0,0,3
0,0,0,3
0,0,0,3
0,0,0,3
0,0,0,3
0,0,0,3
0,0,0,3
0,0,0,3
0,0,0,3
0,0,0,3
0,0,0,3
0,0,0,3
0,0,0,3
0,0,0,3
0,0,0,3
0,0,0,3
0,0,0,3
0,0,0,3
0,0,0,3
0,0,0,3
0,0,0,3
0,0,0,3
0,0,0,4
0,0,0,4
0,0,0,4
0,0,0,4
0,0,0,4
0,0,0,4
0,0,0,4
0,0,0,4
0,0,0,4
0,0,0,4
0,0,0,4
0,0,0,4
0,0,0,4
0,0,0,4
0,0,0,4
0,0,0,4
0,0,0,4
0,0,0,4
0,0,0,4
0,0,0,4
0,0,0,4
0,0,0,4
0,0,0,4
0,0,0,4
0,0,0,4
0,0,0,4
0,0,0,4
0,0,0,4
0,0,0,4
0,0,0,4
0,0,0,4
0,0,0,4
0,0,0,4
0,0,0,4
0,0,0,4
0,0,0,4
0,0,0,4
0,0,0,4
0,0,0,4
0,0,0,4
0,0,0,4
0,0,0,4
0,0,0,4
0,0,0,4
0,0,0,4
0,0,0,4
0,0,0,4
0,0,0,4
0,0,0,4
39,0,0,4
41,0,2,4
57,0,0,4
18,0,0,4
4,0,0,4
78,0,2,4
23,0,0,4
4,0,0,4
19,0,0,4
8,1,0,4
9,1,0,4
32,0,0,4
5,0,0,4
761,40,32,4
43,0,0,4
7,0,0,4
18,0,1,4
18,0,0,4
4,0,0,4
17,0,0,4
2,0,0,4
3,0,0,4
1,0,0,4
15,0,0,4
27,0,0,4
33,0,1,4
6,0,0,4
28,0,0,4
10,0,0,4
0,0,0,4
3,0,0,4
11,0,0,4
62,0,1,4
0,0,0,4
0,0,0,4
0,0,0,4
0,0,0,4
0,0,0,4
0,0,0,4
0,0,0,4
0,0,0,4
0,0,0,4
0,0,0,4
0,0,0,4
0,0,0,4
0,0,0,4
0,0,0,4
0,0,0,4
0,0,0,4
0,0,0,4
0,0,0,4
0,0,0,4
0,0,0,4
0,0,0,4
0,0,0,4
0,0,0,4
0,0,0,4
0,0,0,4
0,0,0,4
0,0,0,4
0,0,0,4
0,0,0,4
0,0,0,4
0,0,0,4
0,0,0,4
0,0,0,4
0,0,0,4
3,0,0,4
0,0,0,4
0,0,0,4
0,0,0,4
0,0,0,4
0,0,0,4
0,0,0,4
0,0,0,4
0,0,0,4
0,0,0,4
0,0,0,4
0,0,0,4
0,0,0,4
0,0,0,4
0,0,0,4
0,0,0,4
0,0,0,4
0,0,0,4
0,0,0,4
0,0,0,4
0,0,0,4
0,0,0,4
0,0,0,4
2,0,0,4
0,0,0,4
0,0,0,4
0,0,0,4
2,0,0,4
0,0,0,4
0,0,0,4
0,0,0,4
0,0,0,4
0,0,0,4
0,0,0,4
0,0,0,4
0,0,0,4
0,0,0,4
3,0,0,4
0,0,0,4
0,0,0,4
0,0,0,4
0,0,0,4
0,0,0,4
0,0,0,4
0,0,0,4
0,0,0,4
0,0,0,4
0,0,0,4
0,0,0,4
1,0,0,4
0,0,0,4
0,0,0,4
0,0,0,4
0,0,0,4
0,0,0,4
0,0,0,4
0,0,0,4
0,0,0,4
0,0,0,4
0,0,0,4
0,0,0,4
0,0,0,4
0,0,0,4
0,0,0,4
0,0,0,4
0,0,0,4
0,0,0,4
0,0,0,4
0,0,0,4
0,0,0,4
0,0,0,4
0,0,0,4
0,0,0,4
0,0,0,4
0,0,0,4
0,0,0,4
0,0,0,4
0,0,0,4
0,0,0,4
0,0,0,4
3,0,0,4
0,0,0,4
0,0,0,4
0,0,0,4
0,0,0,4
0,0,0,4
0,0,0,4
0,0,0,4
0,0,0,4
0,0,0,4
0,0,0,4
3,0,0,4
0,0,0,4
7,0,0,4
0,0,0,4
0,0,0,4
0,0,0,4
0,0,0,4
0,0,0,4
0,0,0,4
0,0,0,4
0,0,0,4
0,0,0,4
0,0,0,4
0,0,0,4
0,0,0,4
0,0,0,4
0,0,0,4
0,0,0,4
2,0,0,4
0,0,0,4
0,0,0,4
2,0,0,4
0,0,0,4
0,0,0,4
0,0,0,4
0,0,0,4
0,0,0,4
0,0,0,4
0,0,0,4
0,0,0,4
0,0,0,4
0,0,0,4
0,0,0,4
0,0,0,4
0,0,0,4
0,0,0,4
0,0,0,4
0,0,0,4
0,0,0,4
0,0,0,4
0,0,0,4
0,0,0,4
0,0,0,4
0,0,0,4
0,0,0,4
0,0,0,4
0,0,0,4
0,0,0,4
0,0,0,4
0,0,0,4
0,0,0,4
0,0,0,4
0,0,0,4
0,0,0,4
0,0,0,4
0,0,0,5
0,0,0,5
0,0,0,5
0,0,0,5
0,0,0,5
0,0,0,5
0,0,0,5
0,0,0,5
0,0,0,5
3,0,0,5
0,0,0,5
0,0,0,5
0,0,0,5
0,0,0,5
1,0,0,5
0,0,0,5
0,0,0,5
0,0,0,5
0,0,0,5
0,0,0,5
0,0,0,5
0,0,0,5
0,0,0,5
0,0,0,5
0,0,0,5
0,0,0,5
0,0,0,5
0,0,0,5
0,0,0,5
0,0,0,5
0,0,0,5
0,0,0,5
0,0,0,5
0,0,0,5
0,0,0,5
0,0,0,5
0,0,0,5
0,0,0,5
0,0,0,5
0,0,0,5
0,0,0,5
0,0,0,5
1,0,0,5
0,0,0,5
0,0,0,5
0,0,0,5
0,0,0,5
0,0,0,5
0,0,0,5
60,0,0,5
68,0,2,5
75,0,0,5
35,0,0,5
7,0,0,5
111,0,2,5
36,0,0,5
5,0,0,5
22,0,0,5
13,1,0,5
15,1,0,5
83,1,0,5
8,0,0,5
1058,52,42,5
69,0,0,5
7,0,0,5
33,0,1,5
36,0,0,5
4,0,0,5
21,0,0,5
5,0,0,5
4,0,0,5
1,0,0,5
22,0,0,5
46,0,0,5
40,1,1,5
9,0,0,5
44,0,0,5
14,0,0,5
0,0,0,5
4,0,0,5
16,0,0,5
104,0,1,5
0,0,0,5
0,0,0,5
0,0,0,5
0,0,0,5
0,0,0,5
0,0,0,5
0,0,0,5
0,0,0,5
0,0,0,5
0,0,0,5
0,0,0,5
0,0,0,5
0,0,0,5
0,0,0,5
0,0,0,5
0,0,0,5
0,0,0,5
0,0,0,5
0,0,0,5
0,0,0,5
0,0,0,5
0,0,0,5
0,0,0,5
0,0,0,5
0,0,0,5
0,0,0,5
0,0,0,5
0,0,0,5
0,0,0,5
0,0,0,5
0,0,0,5
0,0,0,5
0,0,0,5
0,0,0,5
3,0,0,5
0,0,0,5
0,0,0,5
0,0,0,5
0,0,0,5
0,0,0,5
0,0,0,5
0,0,0,5
0,0,0,5
0,0,0,5
0,0,0,5
0,0,0,5
0,0,0,5
0,0,0,5
0,0,0,5
0,0,0,5
0,0,0,5
0,0,0,5
0,0,0,5
0,0,0,5
0,0,0,5
0,0,0,5
0,0,0,5
4,0,1,5
0,0,0,5
0,0,0,5
0,0,0,5
3,0,0,5
0,0,0,5
0,0,0,5
0,0,0,5
0,0,0,5
0,0,0,5
0,0,0,5
0,0,0,5
0,0,0,5
0,0,0,5
4,0,0,5
0,0,0,5
0,0,0,5
0,0,0,5
0,0,0,5
0,0,0,5
0,0,0,5
0,0,0,5
0,0,0,5
0,0,0,5
0,0,0,5
0,0,0,5
1,0,0,5
0,0,0,5
0,0,0,5
0,0,0,5
0,0,0,5
0,0,0,5
0,0,0,5
0,0,0,5
0,0,0,5
0,0,0,5
0,0,0,5
0,0,0,5
0,0,0,5
0,0,0,5
0,0,0,5
0,0,0,5
0,0,0,5
0,0,0,5
0,0,0,5
0,0,0,5
0,0,0,5
0,0,0,5
0,0,0,5
0,0,0,5
0,0,0,5
0,0,0,5
0,0,0,5
0,0,0,5
0,0,0,5
0,0,0,5
0,0,0,5
4,0,0,5
0,0,0,5
0,0,0,5
0,0,0,5
0,0,0,5
0,0,0,5
0,0,0,5
0,0,0,5
0,0,0,5
0,0,0,5
0,0,0,5
4,0,0,5
0,0,0,5
8,0,2,5
0,0,0,5
0,0,0,5
0,0,0,5
0,0,0,5
0,0,0,5
0,0,0,5
0,0,0,5
0,0,0,5
0,0,0,5
0,0,0,5
0,0,0,5
0,0,0,5
0,0,0,5
0,0,0,5
0,0,0,5
5,0,0,5
0,0,0,5
0,0,0,5
2,0,0,5
0,0,0,5
0,0,0,5
0,0,0,5
0,0,0,5
0,0,0,5
0,0,0,5
0,0,0,5
0,0,0,5
0,0,0,5
0,0,0,5
0,0,0,5
0,0,0,5
0,0,0,5
0,0,0,5
0,0,0,5
0,0,0,5
0,0,0,5
0,0,0,5
0,0,0,5
0,0,0,5
0,0,0,5
0,0,0,5
0,0,0,5
0,0,0,5
0,0,0,5
0,0,0,5
0,0,0,5
0,0,0,5
0,0,0,5
0,0,0,5
0,0,0,5
0,0,0,5
0,0,0,5
0,0,0,6
0,0,0,6
0,0,0,6
0,0,0,6
0,0,0,6
0,0,0,6
0,0,0,6
0,0,0,6
0,0,0,6
4,0,0,6
0,0,0,6
0,0,0,6
0,0,0,6
0,0,0,6
1,0,0,6
0,0,0,6
0,0,0,6
0,0,0,6
0,0,0,6
0,0,0,6
0,0,0,6
0,0,0,6
0,0,0,6
0,0,0,6
0,0,0,6
0,0,0,6
0,0,0,6
0,0,0,6
0,0,0,6
0,0,0,6
0,0,0,6
0,0,0,6
0,0,0,6
1,0,0,6
0,0,0,6
0,0,0,6
0,0,0,6
0,0,0,6
0,0,0,6
0,0,0,6
0,0,0,6
0,0,0,6
1,0,0,6
0,0,0,6
0,0,0,6
0,0,0,6
0,0,0,6
0,0,0,6
0,0,0,6
70,0,0,6
80,1,2,6
110,0,0,6
59,0,0,6
14,0,0,6
151,0,4,6
46,0,0,6
7,0,0,6
33,1,0,6
18,1,0,6
21,1,0,6
128,1,0,6
8,0,0,6
1423,76,45,6
100,0,0,6
11,0,0,6
47,0,1,6
72,0,2,6
6,0,0,6
27,0,0,6
6,0,0,6
7,0,0,6
6,0,0,6
35,0,0,6
75,0,0,6
53,1,3,6
13,0,0,6
69,0,0,6
23,0,0,6
0,0,0,6
5,0,0,6
26,0,0,6
128,0,1,6
0,0,0,6
0,0,0,6
0,0,0,6
